URLs,Link,Type,Seconds,Location,Google Map,Date,Description
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612731.opus,View Now,audio/ogg,,,,,A woman with an Eastern Europeaccent asking for a French doctor to get a prescription- seems to be concerning pregnancy – worried the doctors will make her get a pregnancy test. Is it Epstein's publicist Masha Drokova? 
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612251.3gp,View Now,video/3gpp,10.363333,,,2012-06-24T17:36:15.000000Z,"Video of what appears to be a gay pride parade, location unknown. "
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612219.mp4,View Now,video/mp4,14.805333,,,2017-09-22T18:43:40.000000Z,Video of ship that appears to be washed up on the shore in a mild storm.
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612218.mp4,View Now,video/mp4,15.733311,,,2017-09-22T18:38:13.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612353.m4a,View Now,audio/mp4,45.909333,,,2017-08-30T16:46:36.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600818.mov,View Now,video/quicktime,3.301678,,,2019-03-30T15:34:18.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801.mov,View Now,video/quicktime,7.233333,,,2018-12-28T16:52:05.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613258.m4a,View Now,audio/mp4,108.116,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797.mov,View Now,video/quicktime,2.911667,,,2019-03-08T20:18:06.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612354.m4a,View Now,audio/mp4,83.779,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613257.m4a,View Now,audio/mp4,106.004,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612355.m4a,View Now,audio/mp4,181.845333,,,2018-11-26T16:32:18.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796.mov,View Now,video/quicktime,2.978345,,,2019-03-08T20:17:37.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616820.mov,View Now,video/quicktime,24.28,,,2016-07-10T00:02:04.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617570.mov,View Now,video/quicktime,15.680021,,,2019-06-21T17:31:07.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613259.m4a,View Now,audio/mp4,402.9,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614506.mov,View Now,video/quicktime,265.506667,,,2019-01-01T11:47:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617571.mov,View Now,video/quicktime,11.050092,,,2019-06-21T17:31:01.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616390.mov,View Now,video/quicktime,215.666458,,,2018-11-29T19:58:49.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01614483.mov,View Now,video/quicktime,75.663333,,,2018-09-24T18:49:22.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617868.m4a,View Now,audio/mp4,43.444535,,,2014-02-11T01:14:13.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616873.mov,View Now,video/quicktime,68.271667,,,2016-08-03T15:57:48.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01615887.mov,View Now,video/quicktime,41.249542,,,2019-05-25T01:10:30.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618739.mov,View Now,video/quicktime,6.016667,,,2019-01-14T15:50:59.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617814.mov,View Now,video/quicktime,37.058333,,,2015-04-04T17:10:09.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01613386.mov,View Now,video/quicktime,52.195011,,,2016-12-24T22:59:24.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619211.mov,View Now,video/quicktime,17.796667,+42.0707-074.1237+534.201/,Google Map,2018-06-23T19:03:27.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617919.mp4,View Now,video/mp4,65.201633,,,2019-05-12T18:39:25.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619258.mov,View Now,video/quicktime,8.298333,,,2018-09-01T15:31:23.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619485.mov,View Now,video/quicktime,9.758333,,,2016-08-07T08:04:42.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617815.mov,View Now,video/quicktime,75.118333,,,2015-04-04T17:10:21.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619487.mov,View Now,video/quicktime,8.173333,,,2016-08-16T15:29:22.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619486.mov,View Now,video/quicktime,9.591667,,,2016-08-09T14:25:11.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618852.mov,View Now,video/quicktime,265.506667,,,2019-01-01T11:47:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618622.mov,View Now,video/quicktime,43.343333,,,2019-02-14T03:10:10.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816.mov,View Now,video/quicktime,67.62,,,2015-04-04T17:10:44.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618355.mov,View Now,video/quicktime,59.121667,,,2015-11-15T03:09:54.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616872.mov,View Now,video/quicktime,106.86,,,2016-08-03T15:54:05.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619523.mov,View Now,video/quicktime,66.768083,,,2017-03-25T18:56:35.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619533.mov,View Now,video/quicktime,74.633333,,,2017-09-03T18:25:40.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619524.mov,View Now,video/quicktime,155.88,,,2017-06-12T17:23:37.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619495.m4a,View Now,audio/mp4,763.750748,,,2016-09-21T11:22:18.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619560.mov,View Now,video/quicktime,40.31,,,2018-04-17T13:17:35.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619588.mov,View Now,video/quicktime,44.713333,+36.6208-121.9364+024.138/,Google Map,2018-09-02T16:14:33.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619604.m4a,View Now,audio/mp4,790.464,,,2018-10-07T13:34:39.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619578.mov,View Now,video/quicktime,40.5,,,2018-06-13T16:40:17.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620904.mp4,View Now,video/mp4,275.005417,,,,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619633.mov,View Now,video/quicktime,46.476667,,,2019-01-01T13:49:55.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619632.mov,View Now,video/quicktime,38.333333,,,2018-12-31T15:28:22.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619589.mov,View Now,video/quicktime,48.183333,,,2018-09-04T09:09:49.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619634.mov,View Now,video/quicktime,31.295,,,2019-01-03T18:43:29.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619626.mov,View Now,video/quicktime,45.001678,,,2018-12-20T15:04:09.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619625.mov,View Now,video/quicktime,45.141678,,,2018-12-20T11:18:48.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618606.mov,View Now,video/quicktime,166.566667,,,2015-03-11T17:37:53.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01619624.mov,View Now,video/quicktime,137.161667,,,2018-12-20T11:18:30.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621009.mp4,View Now,video/mp4,12.437333,,,2017-09-22T19:57:04.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621010.mp4,View Now,video/mp4,11.413333,,,2017-09-22T18:51:29.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621016.mov,View Now,video/quicktime,3.4,,,2016-09-27T08:33:00.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621014.mov,View Now,video/quicktime,3.401667,,,2016-11-22T15:07:49.000000Z,
https://www.justice.gov/epstein/files/DataSet%2010/EFTA01620591.mov,View Now,video/quicktime,17.266667,,,2017-10-01T15:40:48.000000Z,
